品番,名前,写真,ブランド名,チャネル,年度,会期月,シーズン,ステップ,ワイヤー,タイプ,シーン1,シーン2,補整力,シルエット,着用感,上代,売上
NO407338,バラ,NO407338.jpg,MAGIC,EC,25SS,2024年4月,通年,2,なし,一般,見せない,就寝,4,自然,弱,-0.4963,0.2086
XH609836, サクラ,XH609836.jpg,MAGIC,店舗,25SS,2024年8月,冬,2,あり,プチ,見せない,就寝,1,高さ/自然,強,-0.7052,-1.2447
UO208012, ユリ,UO208012.jpg,Me,店舗,25SS,2024年11月,夏,1,なし,一般,見せない,就寝,1,高さ/自然,強,-2.2596,-0.8552
FE927797, ツバキ,FE927797.jpg,MAGIC,店舗・EC,24AW,2025年9月,冬,3,あり,一般,見せない,日中,2,自然,弱,0.7308,-0.919
EJ557771, アジサイ,EJ557771.jpg,NY,テレビ,定番,2025年1月,夏,1,あり,グラマー,見せない,日中,5,高さ,中,0.3905,-0.0083
RI373110, コスモス,RI373110.jpg,NY,店舗,25SS,2024年4月,夏,グラマー,あり,グラマー,見せる,就寝,3,高さ/自然,中,0.8512,1.3252
VC424315, キキョウ,VC424315.jpg,MAGIC,EC,24AW,2024年8月,夏,3,なし,プチ,見せない,日中,4,自然,弱,1.6373,0.3238
JW793198, ボタン,JW793198.jpg,ピース,EC,25SS,2025年8月,通年,3,なし,プチ,見せない,就寝,3,高さ/自然,強,0.1661,1.6363
IL590822, ヒマワリ,IL590822.jpg,MAGIC,店舗・EC,定番,2024年6月,冬,1,あり,グラマー,見せない,日中,4,高さ,強,-0.2539,-0.6196
KC161872, スミレ,KC161872.jpg,Me,店舗・EC,定番,2024年12月,夏,3,あり,グラマー,見せる,日中,5,高さ/自然,中,-0.9543,-1.2716
YF907288, キキョウ,YF907288.jpg,ピース,テレビ,25SS,2025年6月,冬,グラマー,なし,一般,見せない,就寝,4,高さ,強,0.5148,0.1887
IQ381974, ボタン,IQ381974.jpg,Me,店舗,24AW,2025年2月,夏,0,なし,一般,見せない,就寝,3,自然,強,-0.0668,-0.9533
ID704706,ジャスミン,ID704706.jpg,Me,店舗・EC,定番,2024年6月,通年,2,あり,グラマー,見せない,日中,3,高さ/自然,弱,-0.4704,-0.917
YK951326,バラ,YK951326.jpg,MAGIC,店舗・EC,24AW,2025年1月,夏,グラマー,なし,グラマー,見せない,就寝,3,高さ/自然,中,0.643,0.5544
CF622663, サクラ,CF622663.jpg,MAGIC,テレビ,24AW,2025年7月,冬,グラマー,あり,プチ,見せない,日中,3,高さ,中,0.2534,-1.2968
WE759046, ユリ,WE759046.jpg,MAGIC,テレビ,24AW,2025年5月,通年,2,なし,一般,見せない,就寝,3,自然,強,-0.2864,-0.2299
DC741383, ツバキ,DC741383.jpg,Me,店舗・EC,25SS,2024年11月,通年,3,なし,一般,見せない,就寝,2,自然,中,0.7435,0.8974
EF295835, アジサイ,EF295835.jpg,MAGIC,店舗,25SS,2025年2月,夏,3,あり,一般,見せる,日中,2,自然,弱,1.3651,-1.6776
GN704275, コスモス,GN704275.jpg,NY,テレビ,25SS,2024年7月,通年,1,あり,グラマー,見せない,就寝,4,高さ,弱,1.5896,-0.8786
KY124041, キキョウ,KY124041.jpg,ピース,店舗・EC,25SS,2025年8月,夏,グラマー,なし,一般,見せる,日中,4,自然,中,-1.0942,-0.9008
RE294338, ボタン,RE294338.jpg,Me,テレビ,定番,2025年9月,通年,3,あり,プチ,見せる,就寝,4,高さ,強,0.921,0.6679
KG679473, ヒマワリ,KG679473.jpg,Me,店舗,25SS,2024年3月,通年,1,なし,グラマー,見せない,就寝,1,高さ/自然,強,0.7804,-0.1919
QB453383, スミレ,QB453383.jpg,MAGIC,テレビ,25SS,2024年2月,冬,0,なし,プチ,見せない,日中,2,高さ,弱,-0.6807,-0.6954
HM872504, アジサイ,HM872504.jpg,MAGIC,EC,25SS,2025年6月,通年,2,あり,グラマー,見せる,日中,2,自然,中,-0.3344,1.0565
YV652720, コスモス,YV652720.jpg,MAGIC,店舗・EC,24AW,2024年1月,冬,3,なし,グラマー,見せない,就寝,5,高さ/自然,強,-1.4459,0.0533
PI543452, キキョウ,PI543452.jpg,ピース,店舗,25SS,2025年8月,冬,3,なし,一般,見せる,就寝,1,自然,強,0.8806,-0.1308
FE471123, ボタン,FE471123.jpg,Me,店舗,定番,2025年7月,通年,グラマー,あり,一般,見せる,就寝,4,高さ/自然,弱,-2.3464,-0.2638
RE488091,ジャスミン,RE488091.jpg,ピース,EC,定番,2024年12月,通年,2,あり,プチ,見せる,日中,5,高さ,強,0.4978,-0.5437
OA636972,バラ,OA636972.jpg,ピース,店舗,25SS,2024年9月,冬,1,なし,一般,見せない,日中,4,高さ/自然,弱,2.7464,-0.7063
JT714574, サクラ,JT714574.jpg,MAGIC,店舗,24AW,2025年5月,冬,グラマー,なし,グラマー,見せる,就寝,4,自然,弱,1.396,-1.2093
OO519485, ユリ,OO519485.jpg,MAGIC,EC,24AW,2025年8月,冬,3,なし,グラマー,見せない,日中,4,高さ,中,-0.0168,0.487
NK811267, ツバキ,NK811267.jpg,MAGIC,店舗,定番,2024年1月,夏,2,あり,グラマー,見せる,就寝,1,高さ,中,1.0314,-1.1267
IJ989560, アジサイ,IJ989560.jpg,NY,店舗,定番,2024年9月,冬,1,なし,一般,見せる,日中,4,高さ,弱,-1.5793,1.6296
WX675432, コスモス,WX675432.jpg,NY,店舗・EC,24AW,2024年12月,夏,2,なし,一般,見せない,就寝,3,自然,強,0.9367,1.8915
KX221298, キキョウ,KX221298.jpg,ピース,店舗・EC,24AW,2024年3月,冬,2,あり,一般,見せる,日中,5,自然,強,-1.04,0.0695
HC286421,ジャスミン,HC286421.jpg,MAGIC,テレビ,25SS,2024年2月,通年,グラマー,あり,一般,見せる,日中,3,自然,弱,-0.8943,1.9731
SY199938,バラ,SY199938.jpg,ピース,テレビ,24AW,2024年6月,冬,3,なし,グラマー,見せる,日中,4,自然,弱,0.0001,0.2946
YH305068, サクラ,YH305068.jpg,ピース,EC,25SS,2024年11月,夏,グラマー,なし,グラマー,見せない,就寝,2,高さ/自然,弱,0.3997,-0.2066
DH738529, ユリ,DH738529.jpg,MAGIC,テレビ,24AW,2024年10月,冬,3,なし,一般,見せる,就寝,3,自然,強,-1.4527,-0.8592
ZV661019, ツバキ,ZV661019.jpg,ピース,店舗,定番,2025年1月,夏,グラマー,なし,一般,見せる,就寝,2,自然,弱,-0.3439,-0.6782
QJ307468, アジサイ,QJ307468.jpg,NY,店舗,定番,2025年6月,通年,3,なし,プチ,見せない,日中,4,自然,弱,-1.2033,-0.9706
MJ657458, コスモス,MJ657458.jpg,MAGIC,テレビ,25SS,2024年9月,通年,3,なし,一般,見せる,就寝,2,高さ,強,-0.5476,0.7643
QD365978, キキョウ,QD365978.jpg,Me,EC,24AW,2025年3月,夏,2,なし,グラマー,見せる,就寝,4,高さ/自然,強,-0.0098,-0.1507
BK257344, ボタン,BK257344.jpg,Me,店舗・EC,25SS,2024年1月,夏,2,なし,一般,見せない,日中,3,高さ/自然,弱,1.6641,-0.0172
AC873059,ジャスミン,AC873059.jpg,NY,店舗,定番,2024年12月,夏,0,あり,プチ,見せる,就寝,2,自然,中,0.0095,-0.1175
ZW286556,バラ,ZW286556.jpg,NY,テレビ,24AW,2025年5月,夏,グラマー,あり,グラマー,見せる,日中,2,自然,中,0.5597,0.7475
DS480586, サクラ,DS480586.jpg,NY,店舗・EC,定番,2024年1月,冬,3,なし,グラマー,見せる,就寝,4,高さ,中,-1.4745,0.3814
CJ891267, ユリ,CJ891267.jpg,MAGIC,店舗・EC,25SS,2024年12月,冬,3,なし,グラマー,見せる,就寝,4,高さ/自然,強,-0.8784,-0.3923
WM625563, ツバキ,WM625563.jpg,MAGIC,店舗・EC,24AW,2025年9月,冬,3,なし,プチ,見せる,就寝,3,自然,強,0.3655,-0.0029
YU036236, アジサイ,YU036236.jpg,MAGIC,EC,24AW,2025年12月,冬,3,あり,プチ,見せる,就寝,4,高さ,強,-0.2511,1.3715
IK865747, コスモス,IK865747.jpg,ピース,店舗,定番,2024年1月,夏,0,なし,グラマー,見せない,就寝,2,高さ,中,0.1452,-0.6588
OJ973177, キキョウ,OJ973177.jpg,MAGIC,テレビ,定番,2025年8月,夏,グラマー,なし,一般,見せる,就寝,5,高さ/自然,中,0.5691,1.0178
WP630067, ボタン,WP630067.jpg,Me,EC,24AW,2024年3月,夏,1,なし,プチ,見せる,就寝,2,高さ/自然,強,-1.0952,1.4188
AV875914,ジャスミン,AV875914.jpg,ピース,店舗・EC,25SS,2025年4月,冬,3,あり,プチ,見せない,日中,3,自然,強,0.7513,-0.6252
NY061123,バラ,NY061123.jpg,ピース,テレビ,定番,2025年12月,通年,0,なし,プチ,見せる,就寝,2,自然,弱,-1.357,-0.6897
PQ145431, サクラ,PQ145431.jpg,NY,EC,定番,2024年3月,冬,1,あり,グラマー,見せる,就寝,1,高さ/自然,強,1.8478,1.3759
SJ510819, ユリ,SJ510819.jpg,MAGIC,店舗,25SS,2024年2月,冬,3,なし,グラマー,見せない,日中,1,高さ,強,1.1445,1.0351
EN213213, ツバキ,EN213213.jpg,MAGIC,テレビ,24AW,2025年6月,冬,1,なし,グラマー,見せない,日中,4,高さ/自然,強,-0.1378,0.5736
SF197707, アジサイ,SF197707.jpg,Me,店舗・EC,24AW,2024年7月,冬,2,なし,一般,見せる,就寝,1,自然,強,0.8949,-1.7536
WW135442, コスモス,WW135442.jpg,MAGIC,店舗・EC,24AW,2025年7月,夏,グラマー,あり,グラマー,見せない,就寝,5,自然,強,-0.2355,-0.3414
PA751345, キキョウ,PA751345.jpg,MAGIC,EC,25SS,2025年11月,冬,グラマー,なし,プチ,見せない,日中,2,高さ/自然,中,-0.8078,0.2743
II067440, ボタン,II067440.jpg,Me,テレビ,25SS,2025年11月,通年,グラマー,あり,プチ,見せない,就寝,2,自然,強,0.3834,-0.9682
VP052641, ヒマワリ,VP052641.jpg,MAGIC,店舗・EC,24AW,2024年8月,冬,1,あり,グラマー,見せない,日中,4,高さ,強,1.216,-0.2867
HM132375, スミレ,HM132375.jpg,Me,店舗,24AW,2024年3月,冬,0,なし,グラマー,見せる,就寝,2,高さ,弱,2.2597,-1.3742
LI971013, ユリ,LI971013.jpg,Me,テレビ,25SS,2024年8月,冬,グラマー,なし,一般,見せない,日中,3,自然,中,-0.2965,-1.3782
TZ848437, ツバキ,TZ848437.jpg,Me,テレビ,24AW,2024年9月,冬,1,なし,プチ,見せる,就寝,5,高さ,中,0.3409,0.0652
ZR069649, アジサイ,ZR069649.jpg,NY,店舗・EC,25SS,2024年5月,夏,3,あり,プチ,見せない,日中,2,高さ/自然,中,-0.4666,-0.5821
FM460543, コスモス,FM460543.jpg,ピース,店舗,24AW,2025年11月,通年,グラマー,あり,一般,見せる,日中,3,高さ/自然,弱,0.3065,-0.1442
CF470157,ジャスミン,CF470157.jpg,ピース,EC,24AW,2024年9月,冬,2,なし,グラマー,見せない,日中,2,高さ/自然,中,-0.8719,2.6842
VP273159,バラ,VP273159.jpg,NY,店舗,25SS,2024年7月,通年,0,なし,グラマー,見せない,就寝,1,高さ/自然,中,0.19,-1.0114
ED654757, サクラ,ED654757.jpg,Me,EC,25SS,2025年12月,夏,0,なし,グラマー,見せる,就寝,5,自然,中,0.0807,-0.1549
KI810400, ユリ,KI810400.jpg,NY,店舗,24AW,2025年4月,冬,3,なし,グラマー,見せない,就寝,4,高さ,弱,-0.2466,-0.1631
CK003570, ツバキ,CK003570.jpg,ピース,店舗,24AW,2024年8月,夏,2,なし,グラマー,見せる,就寝,3,自然,弱,0.698,0.3274
JC160232, アジサイ,JC160232.jpg,ピース,店舗・EC,定番,2025年9月,通年,グラマー,あり,プチ,見せる,就寝,4,高さ/自然,中,0.3485,-1.6282
FG684647, コスモス,FG684647.jpg,NY,店舗・EC,24AW,2024年11月,冬,1,なし,プチ,見せる,日中,3,高さ/自然,弱,-0.9728,-0.5257
IM106625, キキョウ,IM106625.jpg,NY,EC,24AW,2024年12月,冬,2,あり,一般,見せる,日中,4,自然,中,0.4793,-1.7764
XP575260, ボタン,XP575260.jpg,MAGIC,テレビ,25SS,2024年3月,通年,3,あり,グラマー,見せる,就寝,2,高さ,弱,-0.4215,-0.6893
DK585616, ヒマワリ,DK585616.jpg,MAGIC,テレビ,定番,2024年5月,通年,2,あり,グラマー,見せない,就寝,1,高さ,強,-0.5964,0.3803
ZN135607, スミレ,ZN135607.jpg,ピース,店舗,定番,2024年6月,通年,2,あり,グラマー,見せる,日中,5,高さ/自然,強,-1.3664,0.3641
PX024382,ジャスミン,PX024382.jpg,ピース,テレビ,24AW,2024年8月,通年,2,なし,一般,見せない,就寝,1,自然,弱,0.2783,0.6014
VK309827,バラ,VK309827.jpg,ピース,テレビ,24AW,2024年4月,夏,2,あり,一般,見せる,日中,4,高さ,中,0.198,-1.1618
LT464099, サクラ,LT464099.jpg,MAGIC,店舗・EC,定番,2025年11月,通年,1,あり,グラマー,見せる,就寝,1,高さ,中,0.5067,-1.9772
SW138007, ユリ,SW138007.jpg,MAGIC,店舗・EC,25SS,2024年5月,冬,1,なし,グラマー,見せる,日中,1,高さ,中,0.5758,-1.2631
KO231913, ツバキ,KO231913.jpg,NY,テレビ,25SS,2024年7月,夏,2,なし,グラマー,見せない,就寝,3,自然,弱,-1.7271,-0.0833
YI881281, アジサイ,YI881281.jpg,Me,テレビ,25SS,2025年11月,通年,3,あり,プチ,見せる,就寝,3,高さ/自然,強,0.8535,-0.9474
RF082219, コスモス,RF082219.jpg,MAGIC,店舗・EC,定番,2024年3月,夏,グラマー,なし,一般,見せない,就寝,1,自然,中,-0.3154,-1.7658
VD549560, キキョウ,VD549560.jpg,MAGIC,テレビ,定番,2024年12月,通年,2,あり,グラマー,見せる,日中,3,高さ,中,-0.7774,0.8056
QN407818, ボタン,QN407818.jpg,NY,EC,24AW,2024年8月,通年,1,なし,グラマー,見せない,日中,4,高さ,中,-1.399,-0.0199
VO771577, ヒマワリ,VO771577.jpg,Me,テレビ,24AW,2024年7月,通年,2,なし,グラマー,見せない,日中,3,高さ,弱,0.1702,0.9257
AW127455, スミレ,AW127455.jpg,MAGIC,店舗・EC,25SS,2025年8月,夏,グラマー,なし,グラマー,見せない,日中,2,高さ,強,0.9929,-1.1842
IL262189, キキョウ,IL262189.jpg,MAGIC,店舗,24AW,2025年10月,夏,2,なし,グラマー,見せない,日中,3,高さ,中,1.7861,-0.0892
GP748023, ボタン,GP748023.jpg,NY,店舗,定番,2024年4月,夏,1,なし,プチ,見せない,日中,5,高さ/自然,強,-0.0977,0.7545
KO314747, ヒマワリ,KO314747.jpg,NY,EC,24AW,2024年3月,冬,グラマー,あり,プチ,見せる,就寝,1,自然,弱,0.9261,1.8732
BY520328, スミレ,BY520328.jpg,MAGIC,店舗・EC,定番,2025年9月,冬,グラマー,なし,グラマー,見せない,就寝,2,高さ/自然,中,-1.4591,0.5078
HV465250,モリ ミカ,HV465250.jpg,Me,テレビ,24AW,2025年11月,通年,1,あり,プチ,見せない,日中,3,高さ,強,-0.6537,0.4703
FA291539,オオタ リュウ,FA291539.jpg,Me,店舗,24AW,2025年12月,夏,3,なし,一般,見せない,日中,4,高さ/自然,弱,0.7912,-0.24
RP321877,スズキ アイ,RP321877.jpg,ピース,店舗,定番,2025年1月,夏,1,あり,一般,見せない,日中,1,高さ,中,0.4749,-1.6616
HQ186018,ジャスミン,HQ186018.jpg,MAGIC,店舗・EC,定番,2024年2月,通年,グラマー,なし,一般,見せない,就寝,2,高さ,強,-0.2507,-0.5615
QW882237,バラ,QW882237.jpg,MAGIC,店舗・EC,24AW,2025年5月,夏,グラマー,あり,プチ,見せない,就寝,1,高さ/自然,中,1.3805,-1.4268
CH935697, サクラ,CH935697.jpg,MAGIC,テレビ,25SS,2025年4月,通年,0,なし,グラマー,見せる,日中,2,自然,弱,0.6234,0.6762
PD738544, ユリ,PD738544.jpg,Me,店舗・EC,24AW,2025年1月,冬,0,あり,プチ,見せる,就寝,2,高さ,弱,-1.7849,1.6785
BH065906, ツバキ,BH065906.jpg,MAGIC,店舗,25SS,2025年12月,冬,2,なし,グラマー,見せる,日中,2,自然,弱,-0.2299,-1.5595
CA685113, アジサイ,CA685113.jpg,ピース,店舗・EC,定番,2025年12月,夏,3,あり,プチ,見せない,就寝,2,自然,強,-2.2829,-0.5724
JS348244, コスモス,JS348244.jpg,ピース,EC,25SS,2024年9月,冬,3,あり,グラマー,見せない,就寝,2,高さ,弱,-0.4107,-0.6309
SK407981, キキョウ,SK407981.jpg,MAGIC,店舗・EC,定番,2025年1月,通年,グラマー,あり,プチ,見せる,就寝,5,高さ/自然,弱,0.3508,0.8765
NG753012, ボタン,NG753012.jpg,NY,EC,25SS,2025年7月,夏,2,なし,一般,見せる,就寝,5,高さ,強,0.9511,-0.9464
BT445911, ヒマワリ,BT445911.jpg,MAGIC,店舗・EC,24AW,2024年7月,通年,1,あり,一般,見せない,就寝,1,高さ/自然,強,1.0301,-0.051
TR068731, スミレ,TR068731.jpg,MAGIC,EC,定番,2025年6月,冬,1,なし,一般,見せる,日中,2,高さ,強,-0.2328,-0.2819
BC730662, ボタン,BC730662.jpg,MAGIC,店舗・EC,定番,2025年4月,通年,グラマー,なし,グラマー,見せない,就寝,2,自然,弱,-0.0428,-0.0135
OL796059,ジャスミン,OL796059.jpg,Me,テレビ,25SS,2025年6月,通年,グラマー,なし,一般,見せる,就寝,3,高さ,中,1.9933,-1.2588
RY746259,バラ,RY746259.jpg,NY,テレビ,定番,2024年7月,冬,0,あり,プチ,見せる,就寝,5,自然,強,-0.3199,1.1205
LJ516052, サクラ,LJ516052.jpg,NY,店舗,24AW,2025年1月,冬,2,なし,一般,見せる,日中,2,自然,弱,-0.7731,0.1827
GN888179, ユリ,GN888179.jpg,NY,店舗・EC,定番,2025年6月,冬,2,なし,プチ,見せる,日中,1,高さ/自然,中,0.9832,-0.474
OA139405,ジャスミン,OA139405.jpg,Me,店舗・EC,定番,2025年6月,夏,グラマー,なし,プチ,見せる,日中,2,高さ/自然,中,2.6392,0.4886
KV557128,バラ,KV557128.jpg,ピース,EC,定番,2024年6月,通年,3,なし,一般,見せない,日中,2,高さ,強,-0.5614,0.2808
LM472910, サクラ,LM472910.jpg,NY,店舗,24AW,2025年11月,夏,2,なし,プチ,見せる,日中,4,自然,弱,1.0701,0.2371
BB504881, ユリ,BB504881.jpg,ピース,EC,定番,2024年3月,通年,グラマー,あり,一般,見せる,日中,2,高さ,弱,-0.6651,0.0829
KA902626, ツバキ,KA902626.jpg,ピース,EC,25SS,2025年1月,通年,3,あり,グラマー,見せる,就寝,1,高さ,中,-0.7951,1.4713
NF161308, アジサイ,NF161308.jpg,Me,テレビ,24AW,2024年1月,冬,2,あり,グラマー,見せる,日中,3,高さ/自然,中,1.4089,1.1995
OL195800, コスモス,OL195800.jpg,NY,店舗,定番,2025年7月,夏,3,あり,グラマー,見せない,就寝,2,高さ/自然,中,0.083,-1.0898
KD199606, キキョウ,KD199606.jpg,NY,テレビ,24AW,2024年4月,冬,グラマー,あり,一般,見せる,就寝,1,高さ/自然,弱,0.7453,-0.4172
UY719006, ボタン,UY719006.jpg,MAGIC,店舗,24AW,2024年3月,夏,0,あり,プチ,見せない,日中,3,高さ,弱,-0.2839,-0.1316
GY305906, ヒマワリ,GY305906.jpg,ピース,テレビ,定番,2024年12月,夏,1,あり,一般,見せない,日中,4,高さ,強,-3.8835,-0.2909
